timestamp,open,high,low,close,volume,amount
2026-03-10 00:00:00+00:00,68395.0,68410.0,68365.1,68400.0,566062.0,3871324.25925
2026-03-10 00:01:00+00:00,68400.1,68402.1,68380.0,68388.0,499215.0,3414070.86245
2026-03-10 00:02:00+00:00,68388.0,68420.0,68352.9,68420.0,427016.0,2919493.67896
2026-03-10 00:03:00+00:00,68420.0,68468.7,68419.9,68447.9,479524.0,3281679.06317
2026-03-10 00:04:00+00:00,68447.9,68455.0,68420.1,68424.7,483874.0,3311469.72338
2026-03-10 00:05:00+00:00,68424.5,68441.0,68400.1,68423.9,294745.0,2016665.69863
2026-03-10 00:06:00+00:00,68424.0,68449.9,68402.2,68429.8,304291.0,2082120.65813
2026-03-10 00:07:00+00:00,68429.9,68429.9,68384.8,68384.9,285495.0,1952608.77499
2026-03-10 00:08:00+00:00,68384.9,68434.0,68380.0,68433.9,252064.0,1724441.86082
2026-03-10 00:09:00+00:00,68434.0,68455.0,68410.1,68454.9,302494.0,2070015.06011
2026-03-10 00:10:00+00:00,68454.9,68454.9,68385.0,68399.0,265759.0,1817861.85906
2026-03-10 00:11:00+00:00,68404.0,68435.0,68386.0,68434.1,292023.0,1997742.88308
2026-03-10 00:12:00+00:00,68434.1,68434.1,68410.1,68417.3,255547.0,1748464.77329
2026-03-10 00:13:00+00:00,68417.2,68473.0,68417.2,68447.7,265281.0,1815868.51986
2026-03-10 00:14:00+00:00,68447.6,68453.6,68372.6,68384.4,430289.0,2944112.27286
2026-03-10 00:15:00+00:00,68384.4,68410.0,68360.4,68395.0,511189.0,3495747.2567
2026-03-10 00:16:00+00:00,68395.0,68496.0,68395.0,68495.5,697652.0,4775794.9615
2026-03-10 00:17:00+00:00,68496.1,68511.2,68469.1,68484.1,644705.0,4415261.40179
2026-03-10 00:18:00+00:00,68484.1,68599.2,68470.0,68580.0,657217.0,4503443.83775
2026-03-10 00:19:00+00:00,68579.9,68664.9,68571.7,68646.5,932931.0,6400910.79272
2026-03-10 00:20:00+00:00,68646.5,68665.0,68595.0,68595.0,854430.0,5863715.08277
2026-03-10 00:21:00+00:00,68595.0,68630.0,68582.1,68617.0,342119.0,2347121.49741
2026-03-10 00:22:00+00:00,68615.0,68684.4,68600.0,68663.0,662300.0,4544792.30788
2026-03-10 00:23:00+00:00,68662.0,68662.0,68620.0,68630.1,540643.0,3710944.93499
2026-03-10 00:24:00+00:00,68630.1,68713.8,68630.1,68683.5,579866.0,3982734.90272
2026-03-10 00:25:00+00:00,68684.8,68711.7,68665.0,68695.2,697372.0,4789866.5168
2026-03-10 00:26:00+00:00,68695.3,68725.5,68672.0,68725.4,675771.0,4642248.26979
2026-03-10 00:27:00+00:00,68725.5,68893.1,68725.4,68845.0,1609757.0,11077901.46956
